path,filename,size_bytes,sha256,package
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/DATA_DICTIONARY(1).md,DATA_DICTIONARY(1).md,6724,eee808256655fba24afab266bd02e4fc9d51587030c4444a19a977d6b96dcdf6,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/DEVELOPER_BRIEF.md,DEVELOPER_BRIEF.md,2483,227bd6338c7a98abd32ae7ab013e463de1077833494edbc0d3f875c6d11679c3,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/FIRST_25_GITHUB_ISSUES.md,FIRST_25_GITHUB_ISSUES.md,1443,bebdfd665b760b457a4f690d59075a9abba1b4a0a06c7bfb53da09369897a4e3,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/HANDOFF_CHECKLIST (1).md,HANDOFF_CHECKLIST (1).md,1292,446f74e0eeca02ef68411ae117c357619b20698e96250c7b9503e6c7db6adf8c,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/HANDOFF_CHECKLIST.md,HANDOFF_CHECKLIST.md,1292,446f74e0eeca02ef68411ae117c357619b20698e96250c7b9503e6c7db6adf8c,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/MASTER_ARCHITECTURE.html,MASTER_ARCHITECTURE.html,22527,110b067f06a8dc4a9c27bded0109732205bfa9d9faa08afda281e93cd1b0d4b8,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/MASTER_ARCHITECTURE.md,MASTER_ARCHITECTURE.md,11670,bf67cb0e2401696ae1e2f6d651c31247c2c1df6b623df35f1d3e044dd56124e2,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/MASTER_BUILD_PROMPT.md,MASTER_BUILD_PROMPT.md,2985,564a18d3bac189812dc478a7670146e336a764f5aa9b52a24be173c70e535346,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/QUALITY_ASSURANCE_REPORT.md,QUALITY_ASSURANCE_REPORT.md,1151,5a2226fee7d25457216fca25fd34e45b910e85e6068646adcdb4616ea600c33f,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/README copy.md,README copy.md,5574,41fe0462b832bd94b0a3a7f7847c42e8fce705a9887bb1b555a0a20ea85c020b,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/REPOSITORY_STRUCTURE.md,REPOSITORY_STRUCTURE.md,3025,9f3275469290f8ed243ffa411f012b55a563b4343b7377b159218ba5d6b0e0d5,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/REQUIREMENTS_TRACEABILITY.md,REQUIREMENTS_TRACEABILITY.md,8407,17a282b21ae36f51504c6e4fd094dacdd6f8a698873dcbf8f0bf3f5426566c68,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/SCHEMA_COVERAGE_AND_VALIDATION.md,SCHEMA_COVERAGE_AND_VALIDATION.md,2519,2f9505dd178af290c690434837f6c0a64066f2cc77255ecc6590e65afef08b8c,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/schema(1) (1).prisma,schema(1) (1).prisma,39706,db52fc764975f2ecc157d6c56c030b3797228147c529e9134649dda106001aa9,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-master-architecture-v0.2.0-partial/schema.foundation.prisma,schema.foundation.prisma,23859,909bfedf2bfc2dec9becad967ef41b082b8d6bbd0e9103f60c70a4ac921215a1,clarity-ai-master-architecture v0.2.0 (PARTIAL - loose root download)
reference/source-packages/clarity-ai-database-artifact/README.md,README.md,1214,db810a8dd4017465f1cbe9cd4d07e15a318c59d3ba4f548f8493f84e1fc651b3,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/prisma/schema.prisma,schema.prisma,23859,909bfedf2bfc2dec9becad967ef41b082b8d6bbd0e9103f60c70a4ac921215a1,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/docs/AUDIT_RULES.md,AUDIT_RULES.md,2488,378e1764f0456d30761e9a121894b9e0199255f2a4a3973a08dda35f1c18ff78,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/docs/DATA_DICTIONARY.md,DATA_DICTIONARY.md,3660,8350d6ef5cda42f8ee38d3e24d6e3013a02e1c152cb4277b802a0150cd25dde5,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/docs/INTEGRATION_PLAN.md,INTEGRATION_PLAN.md,5584,9f48e6dfec90e2074c4c72fa19d807f358feabd6a1dd335fe3d3a76757630f60,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/scripts/seed.ts,seed.ts,1560,8de758b71f2b5d0ca5fa6c2b2fc07b07ffdcbac6080e7b5daa51021870c19471,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/data/synthetic-cases/emergent-uninsured.json,emergent-uninsured.json,1196,0cda87960b2059ba589f19311660d303c00848343fda0582c339b7349b910377,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/data/synthetic-cases/er-commercial-primary.json,er-commercial-primary.json,3289,28ece5a37ab033253c0d787f77182adca8f36048ae58aee4f8963f99601f7226,"clarity-ai-database-artifact.zip (complete, 9 files)"
reference/source-packages/clarity-ai-database-artifact/data/synthetic-cases/medicare-advantage-spouse.json,medicare-advantage-spouse.json,1595,82bf1869c51208bfdfd1b39cd8c381010bae3008c374b10d4197dc9305ffa703,"clarity-ai-database-artifact.zip (complete, 9 files)"
